
"text","label"
"NASA confirms successful test of Artemis rocket launch","REAL"
"Local bakery opens new location downtown","REAL"
"Stock markets climb after positive earnings reports","REAL"
"City council approves new park renovation plan","REAL"
"Study shows regular exercise improves mental health","REAL"
"Scientists discover an unusual exoplanet orbiting nearby star","REAL"
"New public transit route reduces commute times","REAL"
"Schools report improved reading scores after curriculum changes","REAL"
"Company releases security update to patch vulnerabilities","REAL"
"Major sports team wins championship after dramatic comeback","REAL"
"Hospital launches free vaccination clinic this weekend","REAL"
"New community shelter sees increase in volunteers","REAL"
"Researchers publish peer-reviewed study on climate adaptation","REAL"
"Local artist wins national mural competition","REAL"
"Electric vehicle sales increase as incentives expand","REAL"
"City library expands digital lending options","REAL"
"Nonprofit raises funds to support after-school programs","REAL"
"Farmers adopt sustainable water-saving techniques","REAL"
"Tech startup announces collaboration with university lab","REAL"
"Neighborhood cleanup event draws hundreds of volunteers","REAL"
"You won't believe what this politician said at the rally","FAKE"
"Celebrity endorses miracle weight-loss tea that doctors hate","FAKE"
"Miracle pill cures diabetes overnight, scientists stunned","FAKE"
"Secret method makes you rich using just your smartphone","FAKE"
"Alien spaceship hidden in desert discovered by hikers","FAKE"
"Government to install microchips in all newborn babies","FAKE"
"Shocking truth: chocolate causes immediate weight loss","FAKE"
"Doctors ban coffee after study reveals dangerous side effects","FAKE"
"Hidden cameras reveal that your favorite brand is poisoning consumers","FAKE"
"Man predicts end of world next week using forgotten prophecy","FAKE"
"Ancient herbal tea reverses aging and adds 20 years to lifespan","FAKE"
"Local hero finds treasure chest filled with gold under park","FAKE"
"Miraculous photos show proof of time travel in small town","FAKE"
"Study shows listening to this song doubles your IQ","FAKE"
"Mystery virus created in secret lab to control minds","FAKE"
"This one trick makes your phone battery last forever","FAKE"
"Famous actor secretly running for president — exploded rumor","FAKE"
"Drink this juice and lose 50 pounds in a month","FAKE"
"Hidden ingredient in household spice causes instant healing","FAKE"
"Top chef reveals the secret ingredient that cures cancer","FAKE"
